구분,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
전체 대학 평균,7.21,7.27,7.48,7.48,7.09,6.41,7.03,7.01,7.06,7.57,
경기도 대학 평균,8.17,8.38,8.99,9.26,8.33,7.48,8.07,8.16,8.38,9.39,
한신대학교,9.6,9.7,8.3,9.9,9.6,9.1,7.1,6.1,5.9,6.9,5.92
수원대학교,10.6,9.8,11.4,13.2,11.2,10.1,12.6,12.9,13.0,13.9,16.15
경기대학교,20.45,17.4,16.15,15.75,16.45,12.95,14.15,14.1,16.75,19.3,15.58
아주대학교,14.9,13.0,16.3,18.0,15.3,13.5,17.5,17.4,17.7,17.5,18.83
협성대학교,7.5,7.0,8.6,8.8,7.5,7.8,6.3,7.5,7.6,8.3,6.81
평택대학교,8.9,12.4,11.9,10.9,12.7,9.2,7.3,6.9,7.8,8.8,8.28
강남대학교,6.7,6.8,6.9,8.7,7.4,5.7,7.4,7.9,6.8,8.4,11.15
안양대학교,7.74,11.01,8.32,9.7,7.72,6.89,8.91,10.0,11.06,11.19,7.99
루터대학교,3.1,2.5,3.7,5.2,3.8,2.6,3.3,3.6,3.4,3.3,1.74
대진대학교,6.7,6.4,6.3,7.1,6.2,5.0,6.1,7.7,6.5,6.2,6.31
